Customer_ID,lor,dwlltype,marital,adults,infobase,income,numbcars,HHstatin,dwllsize
1000001,15,S,S,1,M,4,3,C,A
1000002,1,S,S,1,M,5,1,C,A
1000003,7,S,M,2,M,5,2,C,A
1000004,6,M,M,4,M,6,1,C,D
1000005,5,M,S,1,M,6,1,C,O
1000006,1,,S,1,M,6,1,C,
1000007,8,S,M,3,M,9,,I,A
1000008,0,S,M,2,M,1,2,C,A
1000009,3,M,M,3,M,4,1,C,E
1000010,8,S,M,2,M,9,2,I,A
1000011,15,S,S,5,M,6,,C,A
1000012,4,S,A,3,M,9,,,A
1000013,15,S,S,3,M,5,,B,A
1000014,1,S,U,1,M,7,,A,A
1000015,11,S,S,3,M,3,2,I,A
1000016,4,M,U,3,M,1,,,
1000017,3,S,U,2,M,3,1,C,A
1000018,7,S,S,5,M,4,,C,A
1000019,10,S,B,1,M,3,1,C,A
1000020,15,S,S,4,M,1,2,C,A
1000021,7,S,U,2,M,6,1,C,A
1000022,13,M,A,3,M,5,3,C,J
1000023,,,U,,,,,,
1000024,15,S,M,4,M,5,1,,A
1000025,0,S,M,1,M,6,,A,A
1000026,,M,U,2,M,9,2,C,
1000027,1,M,M,2,M,9,1,C,C
1000028,,M,S,2,M,1,1,G,
1000029,10,M,B,1,M,6,2,C,
1000030,,,U,,,,,,
1000031,1,S,B,1,M,9,,B,A
1000032,4,S,U,5,M,3,,,A
1000033,7,S,M,1,M,5,,C,A
1000034,15,S,M,2,M,7,,C,A
1000035,7,M,A,6,M,9,3,,A
1000036,2,,U,2,M,7,2,C,
1000037,2,S,M,2,M,9,2,C,A
1000038,1,S,M,2,M,7,2,I,A
1000039,13,S,M,2,M,9,,C,A
1000040,14,S,M,3,M,9,2,C,A
1000041,7,S,M,4,M,8,1,C,A
1000042,15,S,M,5,M,9,,,A
1000043,,,U,,,,,,
1000044,10,S,M,5,M,6,,,A
1000045,2,S,M,2,M,6,1,C,A
1000046,8,,B,1,M,9,,C,
1000047,15,S,M,4,M,5,2,I,A
1000048,8,S,M,6,M,5,3,I,A
1000049,15,S,M,2,M,7,1,C,A
1000050,,,U,,,,,,
1000051,15,S,M,3,M,3,2,C,A
1000052,11,S,M,4,M,8,2,I,
1000053,3,S,M,4,M,3,3,,A
1000054,11,S,M,3,M,9,,C,A
1000055,10,S,M,4,M,7,3,C,A
1000056,,,U,,,,,,
1000057,5,S,S,2,M,6,1,C,A
1000058,2,S,B,1,M,7,,C,A
1000059,3,S,M,2,M,7,1,C,A
1000060,3,S,A,3,M,7,1,,A
1000061,8,,M,3,M,5,1,I,
1000062,7,S,M,6,M,5,1,I,A
1000063,4,,B,1,M,6,2,C,
1000064,,,U,,,,,,
1000065,15,S,S,3,M,6,,I,A
1000066,1,S,M,4,M,6,2,C,A
1000067,12,S,M,4,M,9,,C,A
1000068,5,M,S,6,M,6,1,,A
1000069,14,S,M,4,M,6,1,I,A
1000070,8,M,A,3,M,9,1,C,B
1000071,12,M,S,4,M,3,2,,B
1000072,15,S,M,4,M,6,2,C,A
1000073,13,S,B,1,M,4,2,C,A
1000074,,,U,,,,,,
1000075,1,M,U,1,M,7,,B,B
1000076,4,S,S,1,M,7,1,C,A
1000077,,M,U,2,M,5,2,A,
1000078,11,S,M,3,M,7,1,C,A
1000079,15,S,M,3,M,4,3,C,A
1000080,,,U,,,,,,
1000081,6,S,M,3,M,7,,I,A
1000082,,,U,,,,,,
1000083,9,,U,4,M,7,,C,
1000084,15,S,M,3,M,7,1,C,A
1000085,4,S,M,2,M,7,2,C,A
1000086,1,S,U,3,M,4,2,G,A
1000087,7,S,S,3,M,8,1,,A
1000088,6,S,S,1,M,1,,C,A
1000089,7,S,S,6,M,2,1,C,A
1000090,10,M,M,4,M,5,2,C,B
1000091,7,S,U,3,M,6,2,I,A
1000092,2,S,M,4,M,5,2,C,A
1000093,1,S,S,1,M,7,1,C,A
1000094,6,S,A,2,M,9,,C,A
1000095,9,M,M,3,M,7,1,C,A
1000096,14,S,M,3,M,6,1,C,A
