Customer_ID,forgntvl,ethnic,kid0_2,kid3_5,kid6_10,kid11_15,kid16_17,creditcd,eqpdays
1000001,0,N,U,U,U,U,U,Y,361
1000002,0,Z,U,U,U,U,U,Y,240
1000003,0,N,U,Y,U,U,U,Y,1504
1000004,0,U,Y,U,U,U,U,Y,1812
1000005,0,I,U,U,U,U,U,Y,434
1000006,0,U,U,U,U,U,U,Y,458
1000007,0,N,U,U,U,U,U,Y,852
1000008,1,S,U,U,U,U,U,Y,231
1000009,0,F,U,U,U,U,U,N,700
1000010,1,N,U,U,U,U,U,Y,601
1000011,0,N,Y,U,U,U,U,Y,464
1000012,0,N,U,U,Y,Y,U,Y,544
1000013,0,J,U,U,U,U,U,Y,388
1000014,0,N,U,U,U,U,U,N,354
1000015,0,N,U,U,Y,U,U,Y,199
1000016,0,N,U,Y,U,U,U,Y,697
1000017,0,N,U,U,U,U,U,Y,530
1000018,0,N,U,U,U,U,Y,Y,48
1000019,0,N,U,U,U,U,U,Y,408
1000020,0,S,U,U,Y,Y,Y,N,253
1000021,0,Z,U,U,U,U,U,Y,143
1000022,0,U,U,U,U,U,U,Y,162
1000023,0,J,U,U,U,U,U,N,350
1000024,0,N,U,U,U,U,U,Y,652
1000025,0,N,U,U,U,U,U,N,752
1000026,0,M,U,U,U,U,U,Y,573
1000027,0,N,U,U,U,U,Y,Y,265
1000028,0,H,U,U,U,U,U,Y,452
1000029,0,G,U,U,U,U,U,Y,183
1000030,0,S,U,U,U,U,U,N,319
1000031,0,N,U,U,U,U,U,N,776
1000032,0,H,U,U,U,U,U,Y,1395
1000033,0,N,U,U,Y,U,U,Y,628
1000034,1,N,U,U,U,U,U,Y,138
1000035,0,N,U,U,U,U,Y,Y,917
1000036,0,I,U,U,U,U,U,Y,258
1000037,0,N,U,U,Y,U,U,Y,630
1000038,0,N,U,U,U,U,U,Y,1570
1000039,0,N,U,U,U,U,U,Y,786
1000040,0,J,U,U,U,Y,U,Y,179
1000041,0,N,U,U,U,Y,U,Y,107
1000042,0,N,U,U,U,U,U,Y,616
1000043,0,N,U,U,U,U,U,N,1155
1000044,1,N,U,U,U,U,U,Y,1661
1000045,0,N,U,Y,Y,U,U,Y,1072
1000046,0,S,U,U,U,U,U,Y,864
1000047,0,N,U,U,U,U,U,Y,1549
1000048,0,H,U,U,U,U,U,Y,151
1000049,0,N,U,Y,Y,Y,Y,Y,162
1000050,0,N,U,U,U,U,U,N,192
1000051,1,I,U,U,U,U,U,Y,985
1000052,0,G,U,U,U,U,U,Y,404
1000053,0,N,U,U,U,U,U,Y,389
1000054,0,I,U,U,U,U,U,Y,20
1000055,0,G,U,U,U,Y,Y,Y,1646
1000056,0,H,U,U,U,U,U,N,977
1000057,0,N,U,U,U,U,Y,Y,528
1000058,0,N,U,U,U,U,U,N,1536
1000059,0,N,U,Y,Y,U,U,Y,1023
1000060,0,N,U,U,U,U,U,Y,1597
1000061,0,N,Y,U,U,U,Y,N,1150
1000062,0,H,U,U,U,Y,Y,Y,901
1000063,0,N,U,U,U,U,U,Y,122
1000064,0,N,U,U,U,U,U,N,72
1000065,1,N,U,U,U,U,U,Y,37
1000066,0,N,U,Y,Y,U,U,Y,530
1000067,0,G,U,U,U,U,Y,Y,860
1000068,0,H,U,Y,U,U,U,Y,307
1000069,0,D,U,U,Y,Y,U,Y,1698
1000070,0,F,U,U,U,U,U,Y,873
1000071,0,H,U,U,U,U,U,Y,86
1000072,1,N,U,U,U,U,U,Y,226
1000073,0,Z,U,U,U,U,U,Y,1695
1000074,0,N,U,U,U,U,U,N,492
1000075,0,G,U,U,U,U,U,N,100
1000076,0,N,U,U,U,U,U,Y,659
