Customer_ID,complete_Mean,callfwdv_Mean,callwait_Mean,churn,months,uniqsubs,actvsubs,new_cell,crclscod
1000001,45,0,0.333333333,1,61,2,1,U,A
1000002,193.3333333,0,5.666666667,0,56,1,1,N,EA
1000003,6,0,0,1,58,1,1,Y,C
1000004,3.666666667,0,0,0,60,1,1,Y,B
1000005,137,0,0,0,57,1,1,Y,A
1000006,577.3333333,0,22.66666667,0,59,2,2,Y,C
1000007,0,0,0,1,53,2,2,N,A
1000008,73.33333333,0,0.666666667,0,53,1,1,Y,B
1000009,346.6666667,0,4,0,55,1,1,Y,B
1000010,3.333333333,0,0,0,57,2,2,N,A
1000011,15.33333333,0,0,0,59,2,2,Y,A
1000012,8,0,0,0,53,3,3,Y,A
1000013,0,0,0,0,55,1,1,Y,BA
1000014,1,0,0,0,53,2,2,Y,A
1000015,296,0,1,0,59,5,1,Y,C
1000016,55.33333333,0,0.333333333,0,55,2,2,N,B
1000017,118,0,1.666666667,0,57,1,1,N,B
1000018,33.33333333,0,0.333333333,0,59,3,2,N,A
1000019,173.6666667,0,4.333333333,0,52,1,1,N,A
1000020,51.33333333,0,0,0,56,1,1,Y,B
1000021,622,0,20.33333333,1,58,2,1,U,A
1000022,33.33333333,0,5.666666667,1,54,1,1,U,D
1000023,276.3333333,0,11.33333333,1,52,1,1,N,A
1000024,68.33333333,0,0.333333333,1,54,1,1,Y,G
1000025,57.66666667,0,0.333333333,0,52,2,2,Y,B
1000026,23.66666667,0,0,0,54,3,3,Y,A
1000027,124.6666667,0,4.333333333,1,52,1,1,Y,B
1000028,297.6666667,0,0,0,58,1,1,Y,A
1000029,206,0,4.666666667,1,56,5,4,N,A
1000030,13.33333333,0,0,0,52,1,1,Y,B
1000031,3.333333333,0,0,1,58,2,1,N,A
1000032,34.33333333,0,0,0,54,1,1,Y,C
1000033,18.33333333,0,0.333333333,0,52,1,1,N,A
1000034,20.66666667,0,0,0,58,1,1,Y,A
1000035,16,0,0.333333333,0,56,2,1,N,A
1000036,342.6666667,0,11.66666667,0,54,1,1,N,A
1000037,64.33333333,0,0,0,56,2,2,Y,A
1000038,16,0,0,1,52,1,1,Y,A
1000039,63.66666667,0,0,1,58,1,1,N,A
1000040,26.33333333,0,0,1,54,2,1,Y,A
1000041,113.3333333,0,2.666666667,0,57,3,3,U,A
1000042,25.33333333,0,0,0,53,2,2,N,A
1000043,29.66666667,0,0.333333333,1,51,1,1,Y,C
1000044,3,0,0,1,55,1,1,Y,A
1000045,23.66666667,0,0,1,57,2,2,N,A
1000046,140,0,0.666666667,1,55,2,1,N,B
1000047,32.66666667,0,0.333333333,1,51,3,3,Y,A
1000048,138.3333333,0,6,1,53,5,4,N,A
1000049,17.33333333,0,2.666666667,1,55,1,1,Y,B
1000050,73.33333333,0,1,1,57,2,1,N,A
1000051,9,0,0,1,51,1,1,N,A
1000052,108.6666667,0,1.666666667,1,53,2,2,Y,A
1000053,30,0,0,1,51,3,2,Y,A
1000054,364.3333333,0,3,0,55,2,2,Y,A
1000055,11.66666667,0,0,1,55,1,1,Y,A
1000056,28.33333333,0,0,1,53,1,1,N,B
1000057,115.3333333,0,1,1,55,1,1,Y,A
1000058,0.333333333,0,0,0,50,1,1,Y,A
1000059,6.333333333,0,0,1,55,3,2,N,A
1000060,10.66666667,0,0,0,53,1,1,U,A
1000061,35.33333333,0,0,1,50,1,1,N,A
1000062,133.6666667,0,1.666666667,0,50,1,1,N,C
1000063,192,0,0.666666667,0,50,2,2,Y,B
1000064,578.6666667,2.333333333,34.33333333,0,52,2,2,N,A
1000065,54.33333333,0,0,0,54,1,1,N,A
1000066,25,0,0.333333333,0,50,2,1,Y,B
1000067,171.3333333,0,6.333333333,1,54,2,2,N,A
1000068,550.6666667,0,18,1,56,3,3,Y,B
1000069,108.3333333,0,0.333333333,1,56,1,1,Y,A
1000070,103,0,0.666666667,1,54,1,1,N,A
1000071,197.3333333,0,2,0,50,1,1,N,CA
1000072,29.66666667,0,0,1,50,1,1,N,A
1000073,4.333333333,0,0,0,56,1,1,U,C
1000074,193.3333333,0,14.66666667,0,54,1,1,N,CA
1000075,372.6666667,0,30,0,50,2,1,Y,C
1000076,280.6666667,0,4.333333333,0,52,1,1,Y,A
1000077,389.3333333,0,11,1,56,5,2,Y,A
1000078,3.333333333,0,0,0,54,1,1,N,A
1000079,20.33333333,0,0,1,52,1,1,Y,B
1000080,79,0,2.333333333,1,56,3,2,N,C
1000081,300,0,8.666666667,0,52,3,3,U,A
1000082,0,0,0,1,56,4,3,N,B
1000083,816.3333333,0,38.33333333,0,54,3,2,Y,A
1000084,88,0,0,0,54,2,2,U,A
1000085,318.3333333,0,10.33333333,0,56,1,1,N,A
1000086,359.3333333,0,28.33333333,0,50,1,1,Y,B
1000087,111.6666667,0,2.333333333,0,56,1,1,U,C
1000088,112,0,0.333333333,0,52,1,1,N,B
1000089,175.6666667,0,6.333333333,0,50,1,1,Y,A
1000090,75.66666667,0,0,1,56,1,1,N,B
1000091,53.33333333,0,0,0,50,1,1,N,C
1000092,82,0,0.333333333,0,50,1,1,U,B
1000093,111.3333333,0,4.666666667,0,52,2,2,N,BA
1000094,85.33333333,0,0.333333333,0,52,1,1,N,A
1000095,113.3333333,0,4,0,56,1,1,N,A
1000096,22,0,0,0,52,1,1,Y,A
1000097,65,0,0,0,54,1,1,Y,C
1000098,415,0.333333333,5.333333333,1,52,2,1,N,A
1000099,274,0,2.333333333,0,56,2,1,N,A
1000100,97.33333333,0,3.666666667,0,54,3,2,Y,A
1000101,108.3333333,0,0,1,56,1,1,N,C
1000102,373.6666667,0,21.33333333,0,50,6,4,N,A
1000103,128,0,10.33333333,1,54,1,1,Y,I
1000104,242.6666667,0,15,1,54,1,1,N,A
1000105,36,0,0,0,52,2,2,Y,A
1000106,41,0,0,0,56,4,4,N,A
1000107,75.33333333,0,1.666666667,1,54,4,2,N,A
1000108,258,0,5.666666667,1,50,1,1,N,AA
1000109,195.3333333,0,8.333333333,0,54,1,1,N,C
1000110,475.3333333,0,5,1,52,1,1,N,D
1000111,74,0,1.333333333,0,54,2,2,Y,A
1000112,77.66666667,0,0.333333333,1,52,1,1,Y,G
1000113,1.666666667,0,0,0,50,1,1,N,A
1000114,242,0,10.66666667,1,50,3,3,N,A
1000115,355.6666667,0,6,0,52,2,1,N,A
1000116,75,0,2.333333333,1,56,1,1,N,A
1000117,68,0,1.666666667,0,52,1,1,Y,B
1000118,521.6666667,0,12.33333333,0,54,3,3,Y,B
1000119,216.6666667,0,11,0,54,1,1,Y,A
1000120,0,0,0,1,50,1,1,Y,A
1000121,17,0,0,0,54,1,1,Y,C
1000122,0,0,0,0,56,2,1,N,A
1000123,175,0,4,1,50,1,1,Y,A
1000124,372.6666667,0,64,1,54,2,2,Y,B
1000125,3.333333333,0,0,0,52,1,1,N,AA
1000126,148,0,0,0,56,1,1,N,AA
1000127,81,0,0.333333333,0,54,1,1,N,BA
1000128,862,0,45.33333333,0,50,1,1,Y,A
1000129,268.3333333,0,9.333333333,0,52,2,1,N,B
1000130,94.33333333,0,0,1,56,3,3,N,AA
1000131,362.3333333,0,20.33333333,1,52,1,1,N,A
1000132,122,0,3,1,52,2,1,Y,A
1000133,99.33333333,0,1.333333333,0,54,1,1,N,A
1000134,121.6666667,0,4,1,52,3,2,N,A
1000135,145,0,0.333333333,0,49,1,1,N,D
1000136,4.666666667,0,0,0,56,1,1,N,AA
1000137,94.33333333,0,0,0,49,1,1,N,A
1000138,100.3333333,0,0.666666667,1,49,1,1,Y,G
1000139,252,0,6.333333333,0,49,3,3,Y,A
1000140,130.3333333,0,3.333333333,1,53,2,1,N,A
1000141,19.33333333,0,0,1,55,1,1,Y,A
1000142,339.3333333,0,0,0,49,3,3,N,A
1000143,801.6666667,0,34.66666667,0,53,2,1,U,B
1000144,99.33333333,0,0.666666667,1,55,2,1,Y,A
1000145,1.666666667,0.333333333,0,1,51,1,1,N,A
1000146,147.6666667,0,1.333333333,1,51,2,2,N,B
1000147,51.33333333,0,0,0,51,1,1,N,B
1000148,275.3333333,0,32,1,53,1,1,N,B
1000149,127.6666667,0,1.333333333,1,55,1,1,N,A
1000150,330,0,14.66666667,0,49,2,1,Y,J
1000151,11,0,0,0,51,1,1,Y,B
1000152,53.33333333,0,0.333333333,1,53,1,1,N,A
1000153,202.3333333,0,4,0,49,3,3,N,A
1000154,291,0,3.333333333,0,55,1,1,N,U
1000155,0,0,0,1,49,1,1,N,A
1000156,188.6666667,0,13.33333333,1,53,2,2,Y,B
1000157,75,0,0.666666667,0,53,2,1,N,A
1000158,92.66666667,0,0.666666667,0,51,2,2,Y,A
1000159,239.3333333,0,8.666666667,1,51,1,1,N,A
1000160,57.66666667,0,0,0,51,2,2,N,A
1000161,17.33333333,0,0,1,55,1,1,Y,B
1000162,187.6666667,0,6.666666667,0,55,1,1,N,A
1000163,53.33333333,0,0,1,49,1,1,N,A
