Customer_ID,complete_Mean,months
1000001,45,61
1000002,193.3333333,56
1000003,6,58
1000004,3.666666667,60
1000005,137,57
1000006,577.3333333,59
1000007,0,53
1000008,73.33333333,53
1000009,346.6666667,55
1000010,3.333333333,57
1000011,15.33333333,59
1000012,8,53
1000013,0,55
1000014,1,53
1000015,296,59
1000016,55.33333333,55
1000017,118,57
1000018,33.33333333,59
1000019,173.6666667,52
1000020,51.33333333,56
1000021,622,58
1000022,33.33333333,54
1000023,276.3333333,52
1000024,68.33333333,54
1000025,57.66666667,52
1000026,23.66666667,54
1000027,124.6666667,52
1000028,297.6666667,58
1000029,206,56
1000030,13.33333333,52
1000031,3.333333333,58
1000032,34.33333333,54
1000033,18.33333333,52
1000034,20.66666667,58
1000035,16,56
1000036,342.6666667,54
1000037,64.33333333,56
1000038,16,52
1000039,63.66666667,58
1000040,26.33333333,54
1000041,113.3333333,57
1000042,25.33333333,53
1000043,29.66666667,51
1000044,3,55
1000045,23.66666667,57
1000046,140,55
1000047,32.66666667,51
1000048,138.3333333,53
1000049,17.33333333,55
1000050,73.33333333,57
1000051,9,51
1000052,108.6666667,53
1000053,30,51
1000054,364.3333333,55
1000055,11.66666667,55
1000056,28.33333333,53
1000057,115.3333333,55
1000058,0.333333333,50
1000059,6.333333333,55
1000060,10.66666667,53
1000061,35.33333333,50
1000062,133.6666667,50
1000063,192,50
1000064,578.6666667,52
1000065,54.33333333,54
1000066,25,50
1000067,171.3333333,54
1000068,550.6666667,56
1000069,108.3333333,56
1000070,103,54
1000071,197.3333333,50
1000072,29.66666667,50
1000073,4.333333333,56
1000074,193.3333333,54
1000075,372.6666667,50
1000076,280.6666667,52
1000077,389.3333333,56
1000078,3.333333333,54
1000079,20.33333333,52
1000080,79,56
1000081,300,52
1000082,0,56
1000083,816.3333333,54
1000084,88,54
1000085,318.3333333,56
1000086,359.3333333,50
1000087,111.6666667,56
1000088,112,52
1000089,175.6666667,50
1000090,75.66666667,56
1000091,53.33333333,50
1000092,82,50
1000093,111.3333333,52
1000094,85.33333333,52
1000095,113.3333333,56
1000096,22,52
1000097,65,54
1000098,415,52
1000099,274,56
1000100,97.33333333,54
1000101,108.3333333,56
1000102,373.6666667,50
1000103,128,54
1000104,242.6666667,54
1000105,36,52
1000106,41,56
1000107,75.33333333,54
1000108,258,50
1000109,195.3333333,54
1000110,475.3333333,52
1000111,74,54
1000112,77.66666667,52
1000113,1.666666667,50
1000114,242,50
1000115,355.6666667,52
1000116,75,56
1000117,68,52
1000118,521.6666667,54
1000119,216.6666667,54
1000120,0,50
1000121,17,54
1000122,0,56
1000123,175,50
1000124,372.6666667,54
1000125,3.333333333,52
1000126,148,56
1000127,81,54
1000128,862,50
1000129,268.3333333,52
1000130,94.33333333,56
1000131,362.3333333,52
1000132,122,52
1000133,99.33333333,54
1000134,121.6666667,52
1000135,145,49
1000136,4.666666667,56
1000137,94.33333333,49
1000138,100.3333333,49
1000139,252,49
1000140,130.3333333,53
1000141,19.33333333,55
1000142,339.3333333,49
1000143,801.6666667,53
1000144,99.33333333,55
1000145,1.666666667,51
1000146,147.6666667,51
1000147,51.33333333,51
1000148,275.3333333,53
1000149,127.6666667,55
1000150,330,49
1000151,11,51
1000152,53.33333333,53
1000153,202.3333333,49
1000154,291,55
1000155,0,49
1000156,188.6666667,53
1000157,75,53
1000158,92.66666667,51
1000159,239.3333333,51
1000160,57.66666667,51
1000161,17.33333333,55
1000162,187.6666667,55
1000163,53.33333333,49
1000164,33.66666667,49
1000165,196.3333333,51
1000166,62.33333333,53
1000167,29.33333333,51
1000168,267.3333333,51
1000169,58.33333333,51
1000170,64.33333333,51
1000171,95.33333333,53
1000172,244.3333333,49
1000173,210.3333333,51
1000174,318.6666667,51
1000175,0.333333333,49
1000176,334.3333333,53
1000177,0,53
1000178,472.3333333,55
1000179,962,51
1000180,52.33333333,53
1000181,267,49
1000182,421.6666667,51
1000183,115.3333333,51
1000184,14.33333333,49
1000185,8.333333333,53
1000186,207,53
1000187,13.66666667,51
1000188,318,49
1000189,628.6666667,55
1000190,126,55
1000191,659.3333333,55
1000192,91,49
1000193,195.6666667,51
1000194,87.66666667,55
1000195,0,51
1000196,92.66666667,55
1000197,565.3333333,49
1000198,12.33333333,49
1000199,0,55
1000200,1063.666667,51
1000201,15.33333333,49
1000202,0,55
1000203,587.3333333,51
1000204,15.33333333,51
1000205,117.3333333,53
1000206,98.66666667,49
1000207,49,49
1000208,9,53
1000209,95.33333333,53
1000210,516.3333333,49
1000211,286.6666667,55
1000212,197,51
1000213,324.6666667,53
1000214,79.33333333,53
1000215,75,49
1000216,389,53
1000217,0.666666667,49
1000218,2,53
1000219,221,49
1000220,0,51
1000221,277,53
1000222,26,53
1000223,13,51
1000224,280.3333333,49
1000225,0,55
1000226,0,49
1000227,91,53
1000228,60.66666667,49
1000229,596.3333333,51
1000230,210.3333333,55
1000231,285.6666667,49
1000232,0,49
1000233,123,53
1000234,36.33333333,53
1000235,132,53
1000236,40.33333333,49
1000237,90.66666667,51
1000238,135,55
1000239,743.3333333,53
1000240,2.666666667,55
1000241,137.6666667,55
1000242,144,51
1000243,327,53
1000244,105,51
1000245,0.333333333,51
1000246,18,49
1000247,613.6666667,55
1000248,64.33333333,51
1000249,143.6666667,49
1000250,180.6666667,51
1000251,712,55
1000252,55.33333333,49
1000253,12,51
1000254,231.6666667,51
1000255,171.3333333,48
1000256,59.33333333,48
1000257,372.3333333,51
1000258,154.3333333,53
1000259,128.6666667,51
1000260,87.33333333,55
1000261,168.3333333,53
1000262,199,51
1000263,140.3333333,53
1000264,118.3333333,53
1000265,60.33333333,55
1000266,411.3333333,48
1000267,5,50
1000268,279,52
1000269,197,48
1000270,326,53
1000271,109,50
1000272,41.33333333,50
1000273,50.66666667,52
1000274,260,54
1000275,139.6666667,54
1000276,5.666666667,48
1000277,100,48
1000278,100,54
1000279,449.6666667,50
1000280,76,48
1000281,9.333333333,50
1000282,508.3333333,54
1000283,56,54
1000284,351.3333333,50
1000285,49.66666667,50
1000286,10.33333333,48
1000287,166,48
1000288,2.666666667,54
1000289,77,52
1000290,9.333333333,50
1000291,37.33333333,54
1000292,232,52
1000293,214,48
1000294,11.66666667,52
1000295,142.3333333,48
1000296,313.6666667,48
1000297,0,50
1000298,0,54
1000299,17.66666667,54
1000300,311,48
1000301,725.6666667,48
1000302,276,48
1000303,25.66666667,48
1000304,170.3333333,50
1000305,58,48
1000306,65.33333333,50
1000307,516.6666667,50
1000308,109.3333333,54
1000309,41.66666667,48
1000310,381.6666667,48
1000311,508.6666667,48
1000312,118.3333333,50
1000313,26,50
1000314,178,50
1000315,0,50
1000316,410.3333333,54
1000317,68.66666667,50
1000318,1186.666667,52
1000319,95.33333333,52
1000320,2.666666667,52
1000321,260.3333333,48
1000322,198.3333333,52
1000323,269.6666667,48
1000324,280,50
1000325,218.6666667,48
1000326,10.33333333,48
1000327,86,48
1000328,109.3333333,52
1000329,130,52
1000330,4.666666667,50
1000331,190,48
1000332,190,48
1000333,33.33333333,52
1000334,252.3333333,48
1000335,110.6666667,50
1000336,141,52
1000337,29.66666667,48
1000338,68.33333333,48
1000339,58.66666667,48
1000340,443.3333333,54
1000341,463.3333333,54
1000342,420,48
1000343,341.6666667,50
1000344,118.6666667,48
1000345,198,50
1000346,325.6666667,54
1000347,449,48
1000348,39.33333333,50
1000349,413.3333333,52
1000350,128.6666667,54
1000351,46,54
1000352,73,48
1000353,166,48
1000354,0,54
1000355,101,48
1000356,54.33333333,50
1000357,92,52
1000358,610.3333333,52
1000359,2.333333333,50
1000360,154,52
1000361,273,50
1000362,93.33333333,52
1000363,147.6666667,54
1000364,565.3333333,52
1000365,858.3333333,50
1000366,237.6666667,52
1000367,45.33333333,50
1000368,131,48
1000369,303.6666667,54
1000370,227.6666667,50
1000371,76,52
1000372,36.66666667,52
1000373,129,54
1000374,371.6666667,50
1000375,246.3333333,48
1000376,136.6666667,52
1000377,0,54
1000378,65.66666667,52
1000379,0,52
1000380,57.33333333,54
1000381,182.3333333,48
1000382,287.3333333,50
1000383,101.6666667,48
1000384,177.6666667,52
1000385,353,50
1000386,232,52
1000387,276.3333333,52
1000388,20,50
1000389,33,50
1000390,109.3333333,50
1000391,17.66666667,48
1000392,2.666666667,54
1000393,97.33333333,48
1000394,305,50
1000395,314,50
1000396,197,50
1000397,165,52
1000398,28.33333333,48
1000399,89.66666667,50
1000400,598,52
1000401,114.3333333,50
1000402,72.33333333,50
1000403,371,52
1000404,100.6666667,48
1000405,6,48
1000406,603,48
1000407,29,48
1000408,0,52
1000409,220.3333333,52
1000410,555,48
1000411,90.66666667,52
1000412,36.33333333,54
1000413,277.6666667,48
1000414,177.6666667,48
1000415,0,48
1000416,167,52
1000417,10.66666667,52
1000418,205.6666667,50
1000419,5.666666667,54
1000420,65.66666667,50
1000421,149.6666667,50
1000422,131.3333333,54
1000423,174,50
1000424,61.33333333,50
1000425,283.3333333,50
1000426,376,54
1000427,478.3333333,54
1000428,86.33333333,48
1000429,22.33333333,52
1000430,117.3333333,48
1000431,349.3333333,52
1000432,410.3333333,54
1000433,327.3333333,50
1000434,79.66666667,48
1000435,53.33333333,52
1000436,158.3333333,52
1000437,20.66666667,50
1000438,424.6666667,54
1000439,199.6666667,48
1000440,82.66666667,54
1000441,0.666666667,52
1000442,0,54
1000443,30.33333333,48
1000444,169,50
1000445,531.6666667,54
1000446,76.66666667,47
1000447,1.333333333,47
1000448,601,52
1000449,0,50
1000450,9,47
1000451,154.6666667,47
1000452,100,52
1000453,67.66666667,51
1000454,162.3333333,47
1000455,35.33333333,47
1000456,222.3333333,47
1000457,871.6666667,53
1000458,44,53
1000459,110.6666667,47
1000460,98.66666667,47
1000461,165.3333333,51
1000462,56.66666667,47
1000463,549,53
1000464,163.6666667,51
1000465,181,53
1000466,32,49
1000467,349,53
1000468,186.3333333,47
1000469,64,53
1000470,84.33333333,49
1000471,102.3333333,53
1000472,10.66666667,49
1000473,204.6666667,51
1000474,157,47
1000475,94,53
1000476,116.6666667,53
1000477,6.333333333,49
1000478,108,47
1000479,75.33333333,53
1000480,167.3333333,49
1000481,253.3333333,49
1000482,129.3333333,51
1000483,61.33333333,47
1000484,25.33333333,49
1000485,196.3333333,51
1000486,117.6666667,47
1000487,17,51
1000488,96.33333333,51
1000489,107.3333333,53
1000490,437.3333333,51
1000491,408.6666667,53
1000492,249.3333333,49
1000493,376.6666667,47
1000494,569,49
1000495,39.66666667,51
1000496,191.6666667,47
1000497,14.33333333,53
1000498,82.66666667,53
1000499,523.3333333,47
1000500,93.66666667,49
1000501,120.3333333,47
1000502,6,47
1000503,60.33333333,51
1000504,5.666666667,47
1000505,124.6666667,47
1000506,120.6666667,53
1000507,85.66666667,49
1000508,125.3333333,53
1000509,96.66666667,47
1000510,183.3333333,51
1000511,154.6666667,51
1000512,224.3333333,47
1000513,164.3333333,49
1000514,131.3333333,49
1000515,278.3333333,49
1000516,76,53
1000517,132.3333333,53
1000518,197.6666667,49
1000519,322.6666667,53
1000520,456.3333333,47
1000521,132,51
1000522,0.666666667,53
1000523,465.6666667,49
1000524,108.6666667,51
1000525,480.3333333,47
1000526,8,47
1000527,220.6666667,53
1000528,87,53
1000529,20.66666667,49
1000530,1.666666667,49
1000531,257.3333333,51
1000532,89.33333333,47
1000533,146,53
1000534,8.333333333,49
1000535,218,53
1000536,33.33333333,49
1000537,67,47
1000538,558,53
1000539,15,47
1000540,119.6666667,51
1000541,257.3333333,51
1000542,257,47
1000543,382,49
1000544,54,47
1000545,92.66666667,47
1000546,771.6666667,49
1000547,202,49
1000548,73,53
1000549,2,53
1000550,574,49
1000551,171.6666667,53
1000552,37.33333333,51
1000553,220,53
1000554,0,51
1000555,281.3333333,49
1000556,331.3333333,51
1000557,9,51
1000558,118,51
1000559,178.3333333,53
1000560,706.3333333,49
1000561,151.3333333,47
1000562,508.6666667,51
1000563,247,47
1000564,39.66666667,49
1000565,232.3333333,51
1000566,197.3333333,47
1000567,198.6666667,53
1000568,200,53
1000569,46.33333333,51
1000570,909.6666667,47
1000571,567,47
1000572,1203,51
1000573,289,49
1000574,54.66666667,53
1000575,215,51
1000576,35.33333333,53
1000577,95.66666667,47
1000578,81.66666667,47
1000579,74.33333333,47
1000580,0,51
1000581,16,49
1000582,185.3333333,51
1000583,170,49
1000584,364.6666667,49
1000585,0,53
1000586,262,49
1000587,23.33333333,47
1000588,130,53
1000589,307,49
1000590,12.33333333,47
1000591,19,47
1000592,245,53
1000593,356.3333333,51
1000594,20,51
1000595,114.6666667,53
1000596,287.6666667,49
1000597,255,47
1000598,126,47
1000599,46.33333333,49
1000600,159.3333333,51
1000601,312.3333333,53
1000602,88.66666667,49
1000603,74.66666667,47
1000604,204.6666667,51
1000605,0,47
1000606,41.33333333,47
1000607,0,53
1000608,3.333333333,53
1000609,0,53
1000610,96.33333333,47
1000611,31.33333333,49
1000612,239.3333333,51
1000613,62.33333333,49
1000614,70,53
1000615,139.3333333,49
1000616,313.6666667,47
1000617,29,53
1000618,112.6666667,47
1000619,52.66666667,47
1000620,120,49
1000621,76,47
1000622,196,53
1000623,93,53
1000624,413,47
1000625,105.3333333,49
1000626,20,51
1000627,6.666666667,53
1000628,1.333333333,47
1000629,94.66666667,47
1000630,312.6666667,47
1000631,198.3333333,53
1000632,601.3333333,47
1000633,0,47
1000634,165.6666667,49
1000635,0,47
1000636,124.6666667,49
1000637,4.666666667,51
1000638,441.3333333,47
1000639,0,51
1000640,28.33333333,49
1000641,720,53
1000642,647.6666667,47
1000643,0,51
1000644,281.3333333,53
1000645,124.3333333,51
1000646,4.333333333,47
1000647,394,51
1000648,496.6666667,47
1000649,81,47
1000650,113.3333333,51
1000651,167,49
1000652,1894.333333,51
1000653,101.3333333,47
1000654,26.66666667,49
1000655,38,49
1000656,61.33333333,47
1000657,135.6666667,47
1000658,41,53
1000659,61.33333333,47
1000660,1.666666667,47
1000661,0,53
1000662,70.33333333,49
1000663,41,51
1000664,30,51
1000665,185.3333333,51
1000666,92,49
1000667,170,47
1000668,288,53
1000669,182.6666667,49
1000670,387.6666667,53
1000671,198,47
1000672,0,49
1000673,39.33333333,53
1000674,205.3333333,51
1000675,114,49
1000676,60.33333333,47
1000677,59.33333333,51
1000678,355,53
1000679,64,51
1000680,58,47
1000681,212.3333333,47
1000682,15.33333333,53
1000683,71,47
1000684,34.33333333,53
1000685,0,49
1000686,50,47
1000687,74.66666667,49
1000688,277.6666667,53
1000689,654,53
1000690,62.66666667,51
1000691,0.666666667,53
1000692,109,51
1000693,40,51
1000694,410.3333333,51
1000695,0,53
1000696,131,53
1000697,220,51
1000698,6.333333333,51
1000699,61.33333333,53
1000700,108,47
1000701,244.6666667,51
1000702,13,51
1000703,232.3333333,51
1000704,0,53
1000705,164.3333333,47
1000706,250,46
1000707,523.3333333,46
1000708,29.66666667,46
1000709,140.3333333,53
1000710,48.66666667,46
1000711,26,49
1000712,201.6666667,51
1000713,43.66666667,51
1000714,8.333333333,46
1000715,521.3333333,46
1000716,282.3333333,46
1000717,2.333333333,53
1000718,254.3333333,46
1000719,0,46
1000720,181,50
1000721,83,52
1000722,556,46
1000723,495,50
1000724,239.3333333,48
1000725,232.3333333,50
1000726,162.3333333,46
1000727,21.33333333,46
1000728,57.33333333,50
1000729,242.6666667,48
1000730,248,50
1000731,449.3333333,50
1000732,130.6666667,46
1000733,260.6666667,50
1000734,419,46
1000735,18.33333333,52
1000736,37.66666667,52
1000737,456.3333333,46
1000738,0.666666667,48
1000739,57.33333333,50
1000740,54.33333333,46
1000741,1336.666667,52
1000742,62.66666667,50
1000743,245.3333333,48
1000744,141.3333333,50
1000745,406.6666667,48
1000746,374.6666667,52
1000747,153.6666667,52
1000748,0.666666667,52
1000749,39.66666667,52
1000750,119,46
1000751,297,46
1000752,0,48
1000753,354.3333333,48
1000754,129.6666667,50
1000755,203.3333333,46
1000756,224.3333333,50
1000757,19.33333333,50
1000758,78.33333333,50
1000759,7.666666667,52
1000760,97,48
1000761,78,46
1000762,87.33333333,50
1000763,50.33333333,46
1000764,66.33333333,48
1000765,9.666666667,52
1000766,95.33333333,50
1000767,75.33333333,52
1000768,44.66666667,46
1000769,150.3333333,48
1000770,175.3333333,46
1000771,152.6666667,48
1000772,343.6666667,52
1000773,609,48
1000774,248.6666667,48
1000775,115.3333333,48
1000776,191.6666667,52
1000777,311,52
1000778,178,48
1000779,192,50
1000780,28.66666667,46
1000781,95.33333333,48
1000782,177.6666667,48
1000783,166.6666667,50
1000784,139.6666667,50
1000785,18,52
1000786,106,52
1000787,138.3333333,48
1000788,0,48
1000789,470.6666667,52
1000790,44.33333333,52
1000791,267.6666667,48
1000792,116,48
1000793,24.33333333,52
1000794,14.33333333,48
1000795,32.66666667,48
1000796,108.3333333,48
1000797,216.6666667,48
1000798,46.66666667,48
1000799,116,46
1000800,31,48
1000801,288.6666667,50
1000802,141.6666667,46
1000803,20.33333333,52
1000804,39.33333333,52
1000805,226.3333333,48
1000806,67.33333333,48
1000807,176.3333333,48
1000808,9.333333333,50
1000809,20.66666667,46
1000810,73.33333333,46
1000811,85.66666667,52
1000812,26,48
1000813,47.66666667,52
1000814,66.33333333,52
1000815,30.33333333,46
1000816,53.66666667,52
1000817,348,46
1000818,1.666666667,50
1000819,84.33333333,50
1000820,46.33333333,50
1000821,124.3333333,50
1000822,68.66666667,46
1000823,363.6666667,48
1000824,290.3333333,50
1000825,134.6666667,50
1000826,118,46
1000827,380,46
1000828,93,50
1000829,415,48
1000830,123.3333333,50
1000831,13.66666667,50
1000832,101.3333333,48
1000833,0,52
1000834,27.66666667,46
1000835,253.3333333,52
1000836,199,46
1000837,313.6666667,50
1000838,0,52
1000839,84,46
1000840,766,48
1000841,25.33333333,52
1000842,85,50
1000843,213.3333333,46
1000844,24,46
1000845,93,48
1000846,71.33333333,52
1000847,114.6666667,52
1000848,47,48
1000849,25.66666667,48
1000850,205.3333333,48
1000851,174.6666667,52
1000852,132.3333333,52
1000853,64,52
1000854,92.66666667,52
1000855,2.666666667,46
1000856,176.6666667,52
1000857,571,46
1000858,2.666666667,46
1000859,71,46
1000860,85,48
1000861,66.66666667,45
1000862,277,52
1000863,0,45
1000864,101,48
1000865,22.66666667,52
1000866,16.33333333,45
1000867,12,45
1000868,81.33333333,45
1000869,55.66666667,45
1000870,66.66666667,51
1000871,67,47
1000872,194,49
1000873,45.66666667,47
1000874,17.33333333,51
1000875,33.33333333,49
1000876,37.66666667,51
1000877,94,49
1000878,205,47
1000879,11.66666667,51
1000880,40.33333333,45
1000881,154,47
1000882,177,49
1000883,4.333333333,49
1000884,80.66666667,49
1000885,270.3333333,45
1000886,206.3333333,49
1000887,247.3333333,49
1000888,176.3333333,47
1000889,101,45
1000890,322,47
1000891,68,51
1000892,55.66666667,47
1000893,8.666666667,45
1000894,87.33333333,47
1000895,35,47
1000896,139.3333333,49
1000897,72,49
1000898,134.3333333,47
1000899,8.666666667,51
1000900,218.6666667,51
1000901,0,45
1000902,0,47
1000903,145.6666667,45
1000904,115.3333333,47
1000905,0,49
1000906,33.33333333,49
1000907,38.66666667,47
1000908,195.6666667,49
1000909,135.6666667,47
1000910,145.6666667,47
1000911,106.3333333,49
1000912,269.3333333,49
1000913,46.33333333,45
1000914,122.6666667,45
1000915,64,47
1000916,212.3333333,45
1000917,90,47
1000918,258.3333333,51
1000919,19.33333333,51
1000920,10.66666667,51
1000921,80.33333333,49
1000922,9.333333333,49
1000923,533.6666667,47
1000924,185.6666667,51
1000925,40.33333333,47
1000926,0,49
1000927,109.6666667,51
1000928,67.33333333,49
1000929,508.3333333,49
1000930,688,51
1000931,142,51
1000932,3,45
1000933,38.66666667,45
1000934,63.33333333,45
1000935,131,51
1000936,25.66666667,49
1000937,54.66666667,49
1000938,1.333333333,45
1000939,189,47
1000940,0,51
1000941,31,47
1000942,229.3333333,45
1000943,707.3333333,51
1000944,10.66666667,51
1000945,407,45
1000946,5.666666667,45
1000947,14.33333333,51
1000948,53.66666667,45
1000949,102.6666667,45
1000950,231.6666667,49
1000951,329,49
1000952,12.66666667,47
1000953,12,51
1000954,124,45
1000955,29.33333333,51
1000956,67,51
1000957,168.6666667,49
1000958,170,47
1000959,295.3333333,45
1000960,689.6666667,45
1000961,0,45
1000962,0.333333333,49
1000963,127.6666667,45
1000964,0,47
1000965,103.3333333,47
1000966,258,51
1000967,95.66666667,49
1000968,13.66666667,45
1000969,93,49
1000970,345,49
1000971,94,49
1000972,55.66666667,51
1000973,135,51
1000974,0,51
1000975,7.666666667,47
1000976,257,47
1000977,71.66666667,51
1000978,127.6666667,49
1000979,0,51
1000980,28.33333333,51
1000981,31.66666667,45
1000982,303.3333333,51
1000983,132.6666667,47
1000984,97.33333333,49
1000985,216.6666667,49
1000986,15.33333333,45
1000987,299,51
1000988,203.6666667,45
1000989,19,47
1000990,154.3333333,47
1000991,239,47
1000992,106.3333333,45
1000993,55,47
1000994,357.3333333,49
1000995,37.66666667,45
1000996,291.3333333,47
1000997,46.33333333,51
1000998,54.66666667,49
1000999,24.66666667,47
1001000,147,51
1001001,161.3333333,49
1001002,1,45
1001003,277.6666667,47
1001004,44.66666667,49
1001005,165,45
1001006,22.66666667,47
1001007,135,49
1001008,65.33333333,51
1001009,25,51
1001010,11.66666667,44
1001011,465,44
1001012,603.6666667,44
1001013,30.33333333,50
1001014,82.66666667,48
1001015,151.3333333,46
1001016,228.6666667,48
1001017,1.666666667,44
1001018,9.666666667,50
1001019,37,50
1001020,0,46
1001021,174,48
1001022,69.33333333,50
1001023,288,48
1001024,76.66666667,46
1001025,236.6666667,44
1001026,0.666666667,48
1001027,26.66666667,46
1001028,205.6666667,50
1001029,265,44
1001030,31.33333333,44
1001031,142,44
1001032,126.3333333,46
1001033,21.33333333,44
1001034,76,50
1001035,179,50
1001036,13,46
1001037,124,46
1001038,154.6666667,46
1001039,345.6666667,50
1001040,50.66666667,44
1001041,98,46
1001042,3.333333333,48
1001043,8,48
1001044,168.6666667,44
1001045,26,50
1001046,51.33333333,44
1001047,189,44
1001048,7,44
1001049,65.66666667,48
1001050,23.33333333,48
1001051,8.666666667,50
1001052,13.33333333,46
1001053,6.333333333,44
1001054,64,44
1001055,159,48
1001056,172.6666667,46
1001057,294.3333333,46
1001058,27.33333333,50
1001059,29,50
1001060,285,50
1001061,7.333333333,50
1001062,17.66666667,48
1001063,11.33333333,46
1001064,380.3333333,46
1001065,92,48
1001066,377.3333333,50
1001067,313.6666667,44
1001068,4.333333333,46
1001069,32.33333333,48
1001070,168.6666667,50
1001071,48.33333333,44
1001072,15.66666667,50
1001073,68.33333333,46
1001074,576.6666667,44
1001075,45.66666667,46
1001076,622.6666667,50
1001077,944.6666667,48
1001078,104.6666667,44
1001079,43.66666667,46
1001080,193.6666667,46
1001081,117.3333333,46
1001082,510.3333333,48
1001083,16,44
1001084,158.3333333,50
1001085,56.66666667,46
1001086,122,46
1001087,64.33333333,50
1001088,37,44
1001089,0.666666667,50
1001090,115.3333333,48
1001091,4.666666667,48
1001092,139,50
1001093,83.66666667,50
1001094,225.3333333,48
1001095,41.33333333,46
1001096,134,48
1001097,140,48
1001098,24.66666667,44
1001099,9.333333333,50
1001100,38.66666667,48
1001101,281.6666667,46
1001102,134.6666667,44
1001103,134,44
1001104,48.33333333,50
1001105,48.33333333,48
1001106,564.3333333,46
1001107,10,46
1001108,87.33333333,48
1001109,317.6666667,48
1001110,190.3333333,44
1001111,11.66666667,46
1001112,93.66666667,48
1001113,289.3333333,48
1001114,42.66666667,50
1001115,0,44
1001116,212.3333333,50
1001117,177,48
1001118,57.33333333,44
1001119,80,46
1001120,137.6666667,46
1001121,4.666666667,46
1001122,46.33333333,48
1001123,45,48
1001124,24,50
1001125,36.33333333,46
1001126,149.3333333,44
1001127,31.33333333,50
1001128,127,46
1001129,101,48
1001130,0,46
1001131,43,50
1001132,282,48
1001133,55,50
1001134,0,50
1001135,94.66666667,44
1001136,44,44
1001137,516,46
1001138,124.6666667,46
1001139,70.33333333,44
1001140,82,50
1001141,4,50
1001142,32.66666667,46
1001143,125,48
1001144,99.66666667,44
1001145,135.3333333,48
1001146,20,46
1001147,53.33333333,48
1001148,263.3333333,44
1001149,82.33333333,50
1001150,64.33333333,44
1001151,11.66666667,50
1001152,334,48
1001153,54.33333333,46
1001154,20.33333333,50
1001155,26,44
1001156,12.66666667,48
1001157,198,50
1001158,59.33333333,44
1001159,31.33333333,50
1001160,12,46
1001161,31.33333333,46
1001162,48,50
1001163,82,46
1001164,184.6666667,44
1001165,77.66666667,46
1001166,338.3333333,48
1001167,140.3333333,50
1001168,204,50
1001169,467,44
1001170,440.3333333,35
1001171,0.666666667,48
1001172,1,46
1001173,72.33333333,44
1001174,47,44
1001175,273,50
1001176,64.66666667,44
1001177,8.666666667,48
1001178,3.666666667,48
1001179,0,50
1001180,67,46
1001181,121,46
1001182,6,48
1001183,106.3333333,46
1001184,22,44
1001185,168,43
1001186,14,48
1001187,95.33333333,43
1001188,198.6666667,43
1001189,302.3333333,48
1001190,141.6666667,43
1001191,61.66666667,46
1001192,1,48
1001193,132.3333333,43
1001194,0,46
1001195,1,46
1001196,53,43
1001197,17.33333333,46
1001198,248.3333333,46
1001199,96,43
1001200,124.3333333,49
1001201,40.33333333,49
1001202,573.6666667,46
1001203,69.66666667,43
1001204,128.6666667,45
1001205,90.33333333,49
1001206,79.33333333,43
1001207,13.33333333,49
1001208,1,45
1001209,139.3333333,47
1001210,172,43
1001211,128.3333333,43
1001212,445.6666667,45
1001213,8,47
1001214,138,43
1001215,384.6666667,47
1001216,15.33333333,47
1001217,0,45
1001218,119.3333333,47
1001219,0,49
1001220,323.6666667,47
1001221,264,45
1001222,303.6666667,45
1001223,238.3333333,47
1001224,326,43
1001225,102.6666667,47
1001226,211,43
1001227,0,49
1001228,149,47
1001229,1.333333333,45
1001230,67.66666667,45
1001231,151,45
1001232,21.33333333,43
1001233,59.66666667,49
1001234,5,45
1001235,26.66666667,43
1001236,150.6666667,45
1001237,95,45
1001238,73.66666667,49
1001239,14.66666667,43
1001240,1,45
1001241,236.6666667,45
1001242,446.6666667,47
1001243,309.6666667,47
1001244,70.66666667,47
1001245,233.6666667,45
1001246,230.3333333,43
1001247,35,45
1001248,186.6666667,49
