Customer_ID,income
1000001,4
1000002,5
1000003,5
1000004,6
1000005,6
1000006,6
1000007,9
1000008,1
1000009,4
1000010,9
1000011,6
1000012,9
1000013,5
1000014,7
1000015,3
1000016,1
1000017,3
1000018,4
1000019,3
1000020,1
1000021,6
1000022,5
1000023,
1000024,5
1000025,6
1000026,9
1000027,9
1000028,1
1000029,6
1000030,
1000031,9
1000032,3
1000033,5
1000034,7
1000035,9
1000036,7
1000037,9
1000038,7
1000039,9
1000040,9
1000041,8
1000042,9
1000043,
1000044,6
1000045,6
1000046,9
1000047,5
1000048,5
1000049,7
1000050,
1000051,3
1000052,8
1000053,3
1000054,9
1000055,7
1000056,
1000057,6
1000058,7
1000059,7
1000060,7
1000061,5
1000062,5
1000063,6
1000064,
1000065,6
1000066,6
1000067,9
1000068,6
1000069,6
1000070,9
1000071,3
1000072,6
1000073,4
1000074,
1000075,7
1000076,7
1000077,5
1000078,7
1000079,4
1000080,
1000081,7
1000082,
1000083,7
1000084,7
1000085,7
1000086,4
1000087,8
1000088,1
1000089,2
1000090,5
1000091,6
1000092,5
1000093,7
1000094,9
1000095,7
1000096,6
1000097,1
1000098,6
1000099,4
1000100,7
1000101,
1000102,4
1000103,
1000104,6
1000105,6
1000106,
1000107,
1000108,4
1000109,
1000110,9
1000111,6
1000112,5
1000113,6
1000114,8
1000115,7
1000116,6
1000117,5
1000118,2
1000119,7
1000120,1
1000121,3
1000122,9
1000123,
1000124,3
1000125,
1000126,6
1000127,6
1000128,6
1000129,9
1000130,
1000131,
1000132,7
1000133,6
1000134,7
1000135,5
1000136,7
1000137,8
1000138,4
1000139,
1000140,6
1000141,6
1000142,
1000143,5
1000144,4
1000145,7
1000146,4
1000147,7
1000148,1
1000149,6
1000150,
1000151,
1000152,7
1000153,
1000154,3
1000155,8
1000156,5
1000157,
1000158,9
1000159,7
1000160,6
1000161,7
1000162,4
1000163,9
1000164,4
1000165,9
1000166,3
1000167,6
1000168,6
1000169,3
1000170,
1000171,4
1000172,7
1000173,7
1000174,8
1000175,6
1000176,6
1000177,6
1000178,5
1000179,6
1000180,6
1000181,5
1000182,7
1000183,2
1000184,5
1000185,6
1000186,
1000187,7
1000188,9
1000189,1
1000190,1
1000191,
1000192,4
1000193,5
1000194,6
1000195,6
1000196,
1000197,9
1000198,6
1000199,7
1000200,6
1000201,9
1000202,9
1000203,4
1000204,8
1000205,4
1000206,
1000207,7
1000208,5
1000209,7
1000210,5
1000211,5
1000212,4
1000213,
1000214,
1000215,9
1000216,9
1000217,
1000218,9
1000219,5
1000220,6
1000221,6
1000222,
1000223,
1000224,5
1000225,5
1000226,8
1000227,7
1000228,6
1000229,5
1000230,3
1000231,
1000232,1
1000233,7
1000234,1
1000235,9
1000236,5
1000237,6
1000238,6
1000239,7
1000240,9
1000241,9
1000242,6
1000243,
1000244,7
1000245,8
1000246,5
1000247,2
1000248,9
1000249,6
1000250,
1000251,5
1000252,8
1000253,6
1000254,8
1000255,7
1000256,7
1000257,9
1000258,8
1000259,
1000260,9
1000261,6
1000262,7
1000263,7
1000264,
1000265,7
1000266,6
1000267,5
1000268,
1000269,9
1000270,1
1000271,7
1000272,1
1000273,9
1000274,6
1000275,2
1000276,6
1000277,9
1000278,4
1000279,6
1000280,4
1000281,5
1000282,9
1000283,7
1000284,
1000285,
1000286,8
1000287,5
1000288,6
1000289,4
1000290,9
1000291,5
1000292,1
1000293,
1000294,6
1000295,9
1000296,6
1000297,9
1000298,3
1000299,8
1000300,5
1000301,4
1000302,6
1000303,4
1000304,3
1000305,6
1000306,3
1000307,6
1000308,7
1000309,5
1000310,8
1000311,5
1000312,9
1000313,6
1000314,3
1000315,6
1000316,4
1000317,8
1000318,2
1000319,6
1000320,6
1000321,3
1000322,9
1000323,
1000324,7
1000325,6
1000326,9
1000327,9
1000328,7
1000329,5
1000330,2
1000331,4
1000332,5
1000333,
1000334,4
1000335,6
1000336,7
1000337,4
1000338,1
1000339,5
1000340,6
1000341,5
1000342,7
1000343,9
1000344,3
1000345,3
1000346,7
1000347,6
1000348,6
1000349,
1000350,6
1000351,
1000352,7
1000353,4
1000354,6
1000355,1
1000356,
1000357,7
1000358,9
1000359,6
1000360,7
1000361,
1000362,9
1000363,5
1000364,4
1000365,6
1000366,
1000367,7
1000368,5
1000369,6
1000370,8
1000371,4
1000372,8
1000373,6
1000374,7
1000375,6
1000376,8
1000377,5
1000378,9
1000379,6
1000380,5
1000381,7
1000382,8
1000383,4
1000384,
1000385,7
1000386,3
1000387,9
1000388,5
1000389,3
1000390,
1000391,9
1000392,4
1000393,6
1000394,3
1000395,4
1000396,5
1000397,6
1000398,6
1000399,
1000400,7
1000401,9
1000402,
1000403,
1000404,6
1000405,7
1000406,9
1000407,
1000408,1
1000409,5
1000410,9
1000411,7
1000412,9
1000413,6
1000414,4
1000415,9
1000416,9
1000417,
1000418,8
1000419,6
1000420,4
1000421,9
1000422,6
1000423,6
1000424,3
1000425,5
1000426,5
1000427,
1000428,7
1000429,
1000430,1
1000431,6
1000432,
1000433,7
1000434,
1000435,
1000436,
1000437,6
1000438,7
1000439,6
1000440,9
1000441,6
1000442,9
1000443,9
1000444,2
1000445,5
1000446,3
1000447,9
1000448,
1000449,6
1000450,7
1000451,8
1000452,9
1000453,9
1000454,
1000455,
1000456,9
1000457,
1000458,7
1000459,
1000460,7
1000461,8
1000462,3
1000463,4
1000464,
1000465,9
1000466,3
1000467,5
1000468,6
1000469,6
1000470,9
1000471,5
1000472,8
1000473,9
1000474,3
1000475,4
1000476,
1000477,9
1000478,7
1000479,5
1000480,7
1000481,6
1000482,
1000483,5
1000484,7
1000485,
1000486,3
1000487,7
1000488,6
1000489,1
1000490,8
1000491,9
1000492,6
1000493,3
1000494,
1000495,5
1000496,6
1000497,7
1000498,4
1000499,3
1000500,7
1000501,9
1000502,6
1000503,9
1000504,6
1000505,6
1000506,2
1000507,6
1000508,3
1000509,5
1000510,6
1000511,5
1000512,6
1000513,3
1000514,9
1000515,
1000516,7
1000517,3
1000518,8
1000519,6
1000520,6
1000521,5
1000522,4
1000523,
1000524,9
1000525,7
1000526,9
1000527,2
1000528,
1000529,7
1000530,7
1000531,9
1000532,
1000533,2
1000534,3
1000535,6
1000536,7
1000537,
1000538,9
1000539,8
1000540,6
1000541,7
1000542,8
1000543,6
1000544,9
1000545,7
1000546,7
1000547,6
1000548,7
1000549,6
1000550,6
1000551,3
1000552,9
1000553,9
1000554,8
1000555,
1000556,
1000557,
1000558,8
1000559,5
1000560,7
1000561,2
1000562,
1000563,
1000564,9
1000565,
1000566,5
1000567,6
1000568,9
1000569,9
1000570,9
1000571,6
1000572,6
1000573,5
1000574,9
1000575,7
1000576,5
1000577,6
1000578,5
1000579,9
1000580,3
1000581,7
1000582,
1000583,1
1000584,4
1000585,6
1000586,9
1000587,6
1000588,7
1000589,4
1000590,7
1000591,5
1000592,7
1000593,6
1000594,3
1000595,
1000596,5
1000597,7
1000598,4
1000599,
1000600,7
1000601,7
1000602,8
1000603,9
1000604,8
1000605,8
1000606,7
1000607,
1000608,6
1000609,7
1000610,4
1000611,
1000612,
1000613,6
1000614,6
1000615,1
1000616,2
1000617,6
1000618,9
1000619,
1000620,9
1000621,6
1000622,3
1000623,
1000624,8
1000625,
1000626,9
1000627,5
1000628,7
1000629,2
1000630,6
1000631,8
1000632,7
1000633,
1000634,9
1000635,9
1000636,9
1000637,6
1000638,7
1000639,9
1000640,
1000641,7
1000642,6
1000643,6
1000644,9
1000645,8
1000646,4
1000647,7
1000648,
1000649,6
1000650,6
1000651,
1000652,7
1000653,3
1000654,7
1000655,6
1000656,1
1000657,
1000658,9
1000659,9
1000660,
1000661,1
1000662,
1000663,9
1000664,
1000665,6
1000666,
1000667,
1000668,5
1000669,
1000670,3
1000671,8
1000672,5
1000673,7
1000674,9
1000675,1
1000676,4
1000677,7
1000678,3
1000679,
1000680,
1000681,6
1000682,
1000683,3
1000684,7
1000685,7
1000686,
1000687,7
1000688,9
1000689,9
1000690,3
