Customer_ID,numbcars
1000001,3
1000002,1
1000003,2
1000004,1
1000005,1
1000006,1
1000007,
1000008,2
1000009,1
1000010,2
1000011,
1000012,
1000013,
1000014,
1000015,2
1000016,
1000017,1
1000018,
1000019,1
1000020,2
1000021,1
1000022,3
1000023,
1000024,1
1000025,
1000026,2
1000027,1
1000028,1
1000029,2
1000030,
1000031,
1000032,
1000033,
1000034,
1000035,3
1000036,2
1000037,2
1000038,2
1000039,
1000040,2
1000041,1
1000042,
1000043,
1000044,
1000045,1
1000046,
1000047,2
1000048,3
1000049,1
1000050,
1000051,2
1000052,2
1000053,3
1000054,
1000055,3
1000056,
1000057,1
1000058,
1000059,1
1000060,1
1000061,1
1000062,1
1000063,2
1000064,
1000065,
1000066,2
1000067,
1000068,1
1000069,1
1000070,1
1000071,2
1000072,2
1000073,2
1000074,
1000075,
1000076,1
1000077,2
1000078,1
1000079,3
1000080,
1000081,
1000082,
1000083,
1000084,1
1000085,2
1000086,2
1000087,1
1000088,
1000089,1
1000090,2
1000091,2
1000092,2
1000093,1
1000094,
1000095,1
1000096,1
1000097,1
1000098,
1000099,2
1000100,1
1000101,
1000102,1
1000103,
1000104,
1000105,
1000106,
1000107,
1000108,1
1000109,
1000110,1
1000111,
1000112,1
1000113,3
1000114,1
1000115,1
1000116,
1000117,1
1000118,
1000119,2
1000120,1
1000121,
1000122,1
1000123,
1000124,1
1000125,
1000126,
1000127,2
1000128,1
1000129,2
1000130,
1000131,
1000132,1
1000133,2
1000134,1
1000135,
1000136,1
1000137,2
1000138,2
1000139,
1000140,2
1000141,2
1000142,
1000143,
1000144,1
1000145,
1000146,2
1000147,1
1000148,
1000149,1
1000150,
1000151,
1000152,1
1000153,
1000154,1
1000155,1
1000156,
1000157,
1000158,1
1000159,2
1000160,1
1000161,2
1000162,2
1000163,
1000164,1
1000165,2
1000166,1
1000167,2
1000168,1
1000169,2
1000170,
1000171,2
1000172,2
1000173,2
1000174,2
1000175,1
1000176,1
1000177,
1000178,2
1000179,1
1000180,1
1000181,1
1000182,1
1000183,
1000184,1
1000185,3
1000186,
1000187,2
1000188,
1000189,1
1000190,2
1000191,
1000192,1
1000193,1
1000194,1
1000195,3
1000196,
1000197,1
1000198,3
1000199,
1000200,1
1000201,3
1000202,1
1000203,3
1000204,1
1000205,2
1000206,
1000207,1
1000208,2
1000209,1
1000210,2
1000211,2
1000212,3
1000213,
1000214,
1000215,
1000216,
1000217,
1000218,
1000219,1
1000220,2
1000221,2
1000222,
1000223,
1000224,2
1000225,
1000226,
1000227,2
1000228,1
1000229,2
1000230,1
1000231,
1000232,1
1000233,2
1000234,2
1000235,2
1000236,
1000237,1
1000238,1
1000239,2
1000240,2
1000241,3
1000242,1
1000243,
1000244,2
1000245,
1000246,1
1000247,1
1000248,2
1000249,1
1000250,
1000251,1
1000252,2
1000253,1
1000254,
1000255,1
1000256,
1000257,1
1000258,1
1000259,
1000260,
1000261,2
1000262,1
1000263,2
1000264,
1000265,2
1000266,
1000267,2
1000268,
1000269,2
1000270,3
1000271,
1000272,2
1000273,1
1000274,2
1000275,2
1000276,
1000277,2
1000278,2
1000279,1
1000280,1
1000281,1
1000282,
1000283,1
1000284,
1000285,
1000286,1
1000287,2
1000288,2
1000289,
1000290,2
1000291,2
1000292,2
1000293,
1000294,3
1000295,
1000296,2
1000297,
1000298,
1000299,2
1000300,
1000301,2
1000302,
1000303,1
1000304,
1000305,1
1000306,2
1000307,2
1000308,1
1000309,1
1000310,
1000311,2
1000312,2
1000313,2
1000314,1
1000315,1
1000316,2
1000317,2
1000318,2
1000319,1
1000320,1
1000321,
1000322,2
1000323,
1000324,2
1000325,1
1000326,2
1000327,2
1000328,3
1000329,3
1000330,
1000331,1
1000332,2
1000333,
1000334,2
1000335,1
1000336,2
1000337,2
1000338,3
1000339,1
1000340,2
1000341,2
1000342,1
1000343,1
1000344,
1000345,1
1000346,
1000347,1
1000348,3
1000349,
1000350,2
1000351,
1000352,
1000353,1
1000354,1
1000355,2
1000356,
1000357,1
1000358,2
1000359,2
1000360,
1000361,
1000362,2
1000363,
1000364,2
1000365,1
1000366,
1000367,1
1000368,1
1000369,
1000370,2
1000371,2
1000372,3
1000373,2
1000374,1
1000375,1
1000376,2
1000377,1
1000378,
1000379,1
1000380,
1000381,2
1000382,2
1000383,2
1000384,
1000385,1
1000386,2
1000387,1
1000388,2
1000389,
1000390,
1000391,1
1000392,1
1000393,3
1000394,
1000395,1
1000396,1
1000397,2
1000398,1
1000399,
1000400,1
1000401,2
1000402,
1000403,
1000404,
1000405,1
1000406,1
1000407,
1000408,2
1000409,2
1000410,1
1000411,
1000412,1
1000413,1
1000414,2
1000415,
1000416,1
1000417,
1000418,1
1000419,
1000420,1
1000421,
1000422,2
1000423,
1000424,1
1000425,2
1000426,
1000427,
1000428,3
1000429,
1000430,
1000431,
1000432,
1000433,3
1000434,
1000435,
1000436,
1000437,
1000438,1
1000439,3
1000440,2
1000441,
1000442,1
1000443,2
1000444,1
1000445,1
1000446,
1000447,1
1000448,
1000449,2
1000450,
1000451,1
1000452,
1000453,2
1000454,
1000455,
1000456,2
1000457,
1000458,
1000459,
1000460,
1000461,
1000462,1
1000463,2
1000464,
1000465,
1000466,1
1000467,
1000468,
1000469,1
1000470,2
1000471,2
1000472,
1000473,
1000474,1
1000475,2
1000476,
1000477,1
1000478,2
1000479,
1000480,2
1000481,2
1000482,
1000483,
1000484,2
1000485,
1000486,
1000487,1
1000488,
1000489,2
1000490,1
1000491,1
1000492,2
1000493,1
1000494,
1000495,
1000496,
1000497,3
1000498,
1000499,2
1000500,2
1000501,1
1000502,2
1000503,2
1000504,2
1000505,2
1000506,
1000507,
1000508,2
1000509,
1000510,1
1000511,2
1000512,
1000513,2
1000514,1
1000515,
1000516,
1000517,
1000518,1
1000519,2
1000520,1
1000521,2
1000522,2
1000523,
1000524,2
1000525,2
1000526,2
1000527,2
1000528,
1000529,1
1000530,2
1000531,
1000532,
1000533,3
1000534,2
1000535,1
1000536,
1000537,
1000538,1
1000539,
1000540,1
1000541,2
1000542,1
1000543,2
1000544,1
1000545,1
1000546,2
1000547,2
1000548,1
1000549,
1000550,2
1000551,1
1000552,1
1000553,3
1000554,2
1000555,
1000556,
1000557,
1000558,2
1000559,
1000560,2
1000561,1
1000562,
1000563,
1000564,2
1000565,
1000566,
1000567,
1000568,1
1000569,2
1000570,3
1000571,
1000572,
1000573,1
1000574,
1000575,2
1000576,2
1000577,1
1000578,1
1000579,
1000580,1
1000581,2
1000582,
1000583,1
1000584,1
1000585,2
1000586,
1000587,1
1000588,2
1000589,1
1000590,2
1000591,3
1000592,1
1000593,1
1000594,2
1000595,
1000596,
1000597,2
1000598,1
1000599,
1000600,1
1000601,2
1000602,1
1000603,2
1000604,2
1000605,
1000606,1
1000607,
1000608,
1000609,
1000610,1
1000611,
1000612,
1000613,1
1000614,
1000615,1
1000616,1
1000617,1
1000618,
1000619,
1000620,1
1000621,1
1000622,2
1000623,
1000624,
1000625,
1000626,2
1000627,3
1000628,
1000629,1
1000630,2
1000631,2
1000632,2
1000633,
1000634,2
1000635,
1000636,3
1000637,1
1000638,1
1000639,
1000640,
1000641,
1000642,2
1000643,1
1000644,
1000645,1
1000646,1
1000647,2
1000648,
1000649,1
1000650,2
1000651,
1000652,
1000653,2
1000654,
1000655,2
1000656,1
1000657,
1000658,2
1000659,
1000660,
1000661,2
1000662,
1000663,2
1000664,
1000665,1
1000666,
1000667,
1000668,1
1000669,
1000670,
1000671,1
1000672,1
1000673,2
1000674,
1000675,2
1000676,2
1000677,
1000678,2
1000679,
1000680,
1000681,
1000682,
1000683,
1000684,1
1000685,2
1000686,
1000687,
1000688,2
1000689,1
1000690,
1000691,1
1000692,2
1000693,2
1000694,
1000695,2
1000696,
1000697,2
1000698,3
1000699,1
1000700,2
1000701,
1000702,
1000703,1
1000704,
1000705,2
1000706,
1000707,1
1000708,1
1000709,2
1000710,
1000711,3
1000712,
1000713,1
1000714,
1000715,
1000716,1
1000717,2
1000718,1
1000719,1
1000720,
1000721,1
1000722,1
1000723,
1000724,1
1000725,3
1000726,2
1000727,
1000728,2
1000729,
1000730,1
1000731,1
1000732,1
1000733,
1000734,
1000735,
1000736,
1000737,1
1000738,1
1000739,
1000740,2
1000741,1
1000742,
1000743,1
1000744,2
1000745,
1000746,
1000747,2
1000748,1
1000749,2
1000750,
1000751,
1000752,2
1000753,
1000754,
1000755,
1000756,2
1000757,1
1000758,
1000759,2
1000760,
1000761,1
1000762,2
1000763,1
1000764,2
1000765,1
1000766,2
1000767,2
1000768,1
1000769,
1000770,
1000771,
1000772,
1000773,
1000774,
1000775,1
1000776,2
1000777,1
1000778,1
1000779,1
1000780,2
1000781,1
1000782,1
1000783,1
1000784,1
1000785,1
1000786,1
1000787,3
1000788,
1000789,
1000790,1
